iter	Accuracy	Logloss
0	0.7725401107	0.6871326089
1	0.783188982	0.6805859686
2	0.7861706659	0.6740903773
3	0.7895783047	0.6678926317
4	0.7909981542	0.6622622433
5	0.791424109	0.6570563296
6	0.7919920488	0.6521386326
7	0.7918500639	0.6465694161
8	0.7922760187	0.6412017771
9	0.7911401391	0.635591735
10	0.791424109	0.6306562871
11	0.7927019736	0.6257013269
12	0.7931279284	0.6211136583
13	0.7934118983	0.6164621215
14	0.7935538833	0.6121901378
15	0.7936958682	0.6075109013
16	0.7941218231	0.6029973264
17	0.7927019736	0.5986570914
18	0.7934118983	0.5944106143
19	0.794405793	0.5903615417
20	0.7939798381	0.5865704033
21	0.7936958682	0.5827453828
22	0.7934118983	0.5790220329
23	0.7929859435	0.5752765572
24	0.7938378532	0.5723354292
25	0.7925599886	0.5691134506
26	0.7928439585	0.5657037906
27	0.7924180037	0.5625471796
28	0.7928439585	0.5597171608
29	0.7921340338	0.5565127446
30	0.7925599886	0.5533031402
31	0.7922760187	0.5502870358
32	0.7927019736	0.5472937653
33	0.7924180037	0.5443573866
34	0.7929859435	0.5414289729
35	0.7934118983	0.5387090033
36	0.7934118983	0.5361552844
37	0.7945477779	0.5337706553
38	0.7941218231	0.5312558376
39	0.7951157177	0.5288020438
40	0.7951157177	0.5268903382
41	0.7953996876	0.5248043487
42	0.7946897629	0.5226693815
43	0.794263808	0.5200954618
44	0.794405793	0.5178258262
45	0.7938378532	0.5158794547
46	0.7952577027	0.5139831288
47	0.7949737328	0.5119301736
48	0.7953996876	0.5100112539
49	0.7949737328	0.5083800699
50	0.7951157177	0.5064277438
51	0.7951157177	0.5049317209
52	0.7945477779	0.503397467
53	0.7953996876	0.5015661372
54	0.794405793	0.499810261
55	0.7946897629	0.4979217666
56	0.7951157177	0.4962505014
57	0.794263808	0.49479002
58	0.7945477779	0.4935227389
59	0.7949737328	0.4919209732
60	0.794405793	0.4904448535
61	0.7952577027	0.4889294922
62	0.7955416726	0.4878449039
63	0.7949737328	0.4866190763
64	0.7951157177	0.485374885
65	0.7948317478	0.4841151133
66	0.7948317478	0.4829401599
67	0.7949737328	0.4818765369
68	0.7948317478	0.480754339
69	0.7955416726	0.4796028723
70	0.7953996876	0.4782823584
71	0.7955416726	0.4771815713
72	0.7956836575	0.4760376634
73	0.7959676274	0.4749156687
74	0.7962515973	0.4737557459
75	0.7965355672	0.4729009584
76	0.7965355672	0.4718150737
77	0.7962515973	0.4707775076
78	0.7962515973	0.4695682935
79	0.7959676274	0.4683894666
80	0.7962515973	0.4674768409
81	0.7961096124	0.4665228482
82	0.7961096124	0.46547337
83	0.7962515973	0.4646652439
84	0.7959676274	0.4638458576
85	0.7966775522	0.4630849652
86	0.7969615221	0.4622167932
87	0.7968195371	0.4614097528
88	0.7965355672	0.4606030798
89	0.7968195371	0.4598054637
90	0.7966775522	0.4589790502
91	0.7968195371	0.4581622091
92	0.7966775522	0.4574256635
93	0.7963935823	0.4568797722
94	0.7966775522	0.4562148863
95	0.7968195371	0.4553401658
96	0.7966775522	0.4546076864
97	0.797103507	0.4538870359
98	0.797245492	0.4532316896
99	0.7969615221	0.4524675202
100	0.7969615221	0.4519822421
101	0.7968195371	0.4514457936
102	0.7973874769	0.4509353219
103	0.797245492	0.4502184516
104	0.7978134318	0.44964162
105	0.7975294619	0.4491030138
106	0.7979554167	0.4486247648
107	0.7978134318	0.4480275115
108	0.7979554167	0.4474386227
109	0.7980974017	0.4468585667
110	0.7982393866	0.4463976191
111	0.7978134318	0.4457683863
112	0.7979554167	0.4452551477
113	0.7980974017	0.4447315067
114	0.7983813716	0.4441843432
115	0.7989493114	0.4436391471
116	0.7985233565	0.4431936919
117	0.7983813716	0.4426857179
118	0.7979554167	0.4423871102
119	0.7980974017	0.4419737115
120	0.7983813716	0.4414792887
121	0.7982393866	0.4410329184
122	0.7985233565	0.4406417044
123	0.7985233565	0.4401021474
124	0.7989493114	0.4395079772
125	0.7985233565	0.4391052745
126	0.7982393866	0.4386834395
127	0.7983813716	0.4383123059
128	0.7986653415	0.4378356858
129	0.7982393866	0.4373983567
130	0.7980974017	0.4370248264
131	0.7985233565	0.436632321
132	0.7986653415	0.4362535031
133	0.7985233565	0.4359040664
134	0.7985233565	0.435520536
135	0.7986653415	0.4350639834
136	0.7982393866	0.4347516523
137	0.7985233565	0.4344312125
138	0.7988073264	0.4340349142
139	0.7988073264	0.4336807216
140	0.7989493114	0.4333470357
141	0.7983813716	0.4330186659
142	0.7989493114	0.4327002044
143	0.7992332813	0.4323377742
144	0.7990912963	0.4320483874
145	0.7989493114	0.431825271
146	0.7986653415	0.4315537931
147	0.7986653415	0.431210289
148	0.7986653415	0.4309027422
149	0.7986653415	0.4306259093
150	0.7988073264	0.4303287757
151	0.7988073264	0.4300698068
152	0.7990912963	0.4297950644
153	0.7989493114	0.4295353501
154	0.7990912963	0.429233152
155	0.7989493114	0.4289694999
156	0.7996592361	0.428721122
157	0.7996592361	0.428482875
158	0.7993752662	0.4282010581
159	0.7993752662	0.4278700036
160	0.7995172512	0.4276242161
161	0.7998012211	0.427346926
162	0.7998012211	0.4271370321
163	0.799943206	0.4268841521
164	0.7996592361	0.4266602118
165	0.8007951157	0.4264408134
166	0.8010790856	0.4261968302
167	0.8012210706	0.4259637549
168	0.8013630555	0.425742289
169	0.8013630555	0.4255183894
170	0.8010790856	0.425297239
171	0.8016470254	0.4251119938
172	0.8016470254	0.4248983605
173	0.8013630555	0.424664847
174	0.8010790856	0.424361756
175	0.8013630555	0.4241702136
176	0.8016470254	0.4239450749
177	0.8015050405	0.4237699159
178	0.8015050405	0.423587599
179	0.8019309953	0.4233770432
180	0.8016470254	0.4231906823
181	0.8019309953	0.4229782879
182	0.8019309953	0.4227828183
183	0.8022149652	0.4226125175
184	0.8024989351	0.4224496572
185	0.802782905	0.4222910878
186	0.8023569502	0.4220281975
