gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,tenureBins
0,0,0,1,1,2,0,1,0,1,1,1,1,2,0,2,0.7039800995024875,0.7240249249942303,2
1,0,1,0,0,0,0,1,0,1,1,0,0,2,0,2,0.25323383084577117,0.29996538195245787,2
1,0,0,1,1,1,2,2,2,2,2,2,2,1,1,2,0.015422885572139305,0.03732979459958459,0
1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0.7054726368159204,0.008117932148626817,0
0,0,0,0,1,2,1,1,0,1,0,1,1,1,0,3,0.9194029850746269,0.7509635356565889,2
1,0,0,1,1,1,2,2,2,2,2,2,2,1,0,2,0.02238805970149252,0.0976517424417263,1
1,0,1,0,1,2,1,0,1,1,1,1,1,1,0,3,0.8597014925373135,0.7928686822063236,2
0,0,0,0,1,2,2,2,2,2,2,2,2,1,1,1,0.0771144278606965,0.07676552042464806,1
0,0,0,1,1,2,1,1,1,1,0,1,1,0,0,0,0.8378109452736319,0.009652665589660745,0
0,0,0,0,1,2,1,0,0,0,0,1,1,2,0,2,0.8238805970149253,0.6868739903069467,2
0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0.36268656716417913,0.024953842603277175,0
0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0.5606965174129352,0.2052792522501731,1
1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0.7238805970149254,0.0591045465035772,0
1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0.553233830845771,0.10471382414031849,0
0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0.2756218905472637,0.003132933302561736,0
1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,2,0.3263681592039801,0.41730325409646896,2
1,0,0,0,1,2,0,0,0,0,1,0,1,2,1,1,0.48756218905472637,0.4864239556888991,2
1,0,0,1,0,0,0,1,0,1,1,1,1,2,0,2,0.4716417910447761,0.5360835448880683,2
1,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0.6034825870646766,0.28030810062312483,1
1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0.5223880597014925,0.22570966997461345,1
0,0,0,1,1,2,0,1,0,1,1,1,0,0,1,1,0.6273631840796019,0.40645049619201473,1
1,0,1,0,1,1,2,2,2,2,2,2,2,0,1,1,0.020895522388059695,0.0016616662820216942,0
1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,3,0.508457711442786,0.220228479113778,1
0,0,1,0,1,1,2,2,2,2,2,2,2,0,1,1,0.026368159203980085,0.00024232633279483006,0
1,0,1,0,1,2,0,1,1,0,1,1,1,2,0,3,0.6119402985074627,0.4845372720978537,2
1,0,0,1,1,2,0,0,0,1,0,1,1,1,1,3,0.6019900497512437,0.41332217862912535,1
1,0,1,0,1,2,1,0,0,0,0,0,0,0,1,0,0.6129353233830845,0.08982806369720749,0
1,0,0,1,1,2,0,1,1,1,1,0,0,2,0,3,0.48009950248756217,0.5530579275328872,2
0,0,0,1,1,2,1,1,0,1,0,1,0,2,1,2,0.818407960199005,0.8091218555273483,2
1,0,1,0,1,1,2,2,2,2,2,2,2,1,0,1,0.011940298507462671,0.13583544888068314,2
0,0,1,0,1,2,1,1,1,1,0,0,0,0,0,3,0.6577114427860695,0.14814793445649668,0
0,0,1,0,1,2,1,0,1,0,0,1,0,0,0,2,0.6557213930348259,0.208071774751904,0
0,0,0,1,1,1,2,2,2,2,2,2,2,0,1,1,0.011940298507462671,7.500576967459007e-05,0
0,0,1,0,0,0,0,1,0,1,1,0,0,2,1,2,0.2666666666666666,0.29324948072928686,2
0,0,0,0,1,2,2,2,2,2,2,2,2,2,1,1,0.072636815920398,0.19572467112854836,2
1,0,0,1,1,1,2,2,2,2,2,2,2,2,0,2,0.01691542288557213,0.1482171705515809,2
1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0.18159203980099503,0.11691668589891531,1
1,0,1,1,1,1,2,2,2,2,2,2,2,2,1,1,0.02238805970149252,0.0782367874451881,1
0,0,0,0,1,2,1,0,0,0,1,1,1,1,0,0,0.8447761194029851,0.528023309485345,1
0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.5253731343283582,0.395343872605585,2
0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,2,0.4203980099502488,0.3607604431110085,2
0,0,0,1,1,1,2,2,2,2,2,2,2,1,1,3,0.008457711442786064,0.12981767828294485,2
1,0,0,1,1,2,0,0,1,0,1,1,1,0,1,2,0.5308457711442786,0.22366720516962843,1
1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0.2736318407960199,0.037549042234018004,0
1,0,1,0,1,2,1,0,1,0,1,0,0,0,1,2,0.6208955223880598,0.5525675051927071,2
1,0,1,0,1,2,1,0,0,1,0,0,0,0,0,2,0.6626865671641791,0.23424878836833607,0
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0.15174129353233828,0.06706669743826449,0
1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.11442786069651739,0.009006462035541195,0
1,0,1,0,1,1,2,2,2,2,2,2,2,1,0,1,0.018905472636815884,0.016720516962843292,0
1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0.3656716417910447,0.004177244403415647,0
0,0,1,0,1,1,2,2,2,2,2,2,2,0,0,1,0.021890547263681587,0.0027290560812370185,0
1,0,1,0,1,2,1,0,0,1,0,1,1,2,1,3,0.8641791044776118,0.763102930994692,2
0,1,1,0,1,2,1,0,0,1,0,1,1,1,1,2,0.8940298507462686,0.8331179321486268,2
1,1,1,0,1,1,2,2,2,2,2,2,2,2,0,3,0.01741293532338306,0.15891991691668592,2
0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0.8049751243781095,0.05149434571890146,0
1,1,0,0,1,2,1,0,1,0,0,1,1,0,0,3,0.7601990049751244,0.6993076390491576,2
0,0,1,0,1,1,0,1,0,1,1,1,1,2,0,2,0.6626865671641791,0.6277867528271406,2
1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0.3746268656716417,0.016010846988229865,0
1,0,0,1,1,1,0,1,0,0,1,1,0,2,0,1,0.5119402985074627,0.42820216939764594,2
1,0,1,0,1,1,1,0,0,1,0,0,0,1,1,3,0.6104477611940298,0.6280463881837064,2
1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.46915422885572144,0.31799561504731133,1
0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0.5253731343283582,0.20988922224786524,1
0,0,1,0,1,2,0,1,0,1,1,1,0,2,0,3,0.6129353233830845,0.5588102930994692,2
0,0,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0.6049751243781094,0.04796907454419571,0
1,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0.31492537313432833,0.1642222478652204,1
0,0,1,0,1,1,2,2,2,2,2,2,2,0,1,1,0.015920398009950265,0.00012116316639741503,0
0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,3,0.36019900497512436,0.42189591507039,2
1,0,1,0,1,1,2,2,2,2,2,2,2,1,1,3,0.020398009950248763,0.051736672051696284,0
0,0,0,0,1,2,1,1,0,1,1,0,1,2,0,3,0.8736318407960199,0.44029540733902606,1
0,0,0,1,0,0,0,1,1,0,1,0,0,2,1,1,0.16268656716417912,0.0916974382644819,0
1,1,0,0,1,2,1,1,0,0,0,0,1,0,0,3,0.7606965174129353,0.07550196168936073,0
0,1,1,0,1,2,1,0,1,1,1,1,1,1,0,3,0.8417910447761193,0.8029021463189476,2
0,0,1,0,1,2,1,0,0,1,1,1,1,0,0,3,0.9114427860696516,0.8059254558042926,2
1,0,0,1,1,1,0,1,0,1,1,1,1,2,0,1,0.6577114427860695,0.44302446342026314,1
